CLAS physics database search results
Measurement E32M1
g10 CLAS experiment
Wei Chen
0

Egamma	theta	dsigma/dOmega	Data errors	Systematic errors
MeV	deg	mcb/srad	mcb/srad	mcb/srad
2600	137.5	0.06056	0.00761	0.00126
2600	142.5	0.05173	0.00666	0.00186
2600	147.5	0.0392	0.0052	0.00185
2600	152.5	0.04753	0.00615	0.00176
2600	157.5	0.05296	0.00727	0.00313
2700	37.5	0.24073	0.03172	0.00876
2700	42.5	0.14846	0.01886	0.00297
2700	47.5	0.0964	0.01216	0.00157
2700	52.5	0.06497	0.00819	0.00107
2700	57.5	0.04659	0.00588	0.000801832
2700	62.5	0.03932	0.00497	0.00076336
2700	67.5	0.03137	0.00397	0.000627549
2700	72.5	0.02953	0.00374	0.000616128
2700	77.5	0.02683	0.0034	0.00061119
2700	82.5	0.02739	0.00347	0.000595788
2700	87.5	0.03106	0.00393	0.000597071
2700	92.5	0.03936	0.00496	0.000653538
2700	97.5	0.04921	0.00619	0.00073654
2700	102.5	0.05611	0.00707	0.000922096
2700	107.5	0.05624	0.00708	0.000839331
2700	112.5	0.05705	0.00719	0.000891776
2700	117.5	0.06429	0.0081	0.000995713
2700	122.5	0.06402	0.00806	0.00102
2700	127.5	0.05474	0.00692	0.00103
2700	132.5	0.05972	0.00755	0.00117
2700	137.5	0.05179	0.00656	0.00112
2700	142.5	0.05066	0.00654	0.00171
2700	147.5	0.0347	0.00471	0.00181
2700	152.5	0.03885	0.00511	0.00158
2700	157.5	0.04037	0.00568	0.00262
2800	37.5	0.20863	0.02794	0.0086
2800	42.5	0.14084	0.01809	0.0032
2800	47.5	0.09993	0.01273	0.00183
2800	52.5	0.06812	0.00867	0.00123
2800	57.5	0.04761	0.00606	0.000902329
2800	62.5	0.0363	0.00464	0.000799151
2800	67.5	0.02919	0.00374	0.000667929
2800	72.5	0.02386	0.00306	0.000600216
2800	77.5	0.02023	0.00261	0.000572438
2800	82.5	0.01965	0.00253	0.000521126
2800	87.5	0.02323	0.00298	0.000539943
2800	92.5	0.02947	0.00376	0.000597116
2800	97.5	0.03956	0.00503	0.000699933
2800	102.5	0.04778	0.00609	0.000921771
2800	107.5	0.04929	0.00626	0.000857251
2800	112.5	0.04972	0.00633	0.000906663
2800	117.5	0.05756	0.00732	0.00102
2800	122.5	0.05961	0.00758	0.00108
2800	127.5	0.04942	0.00631	0.00104
2800	132.5	0.05315	0.0068	0.00118
2800	137.5	0.05148	0.0066	0.00124
2800	142.5	0.04561	0.00597	0.00165
2800	147.5	0.03862	0.00545	0.00242
2800	152.5	0.03457	0.00465	0.00163
2800	157.5	0.03204	0.00468	0.00237
2900	37.5	0.15733	0.02157	0.00765
2900	42.5	0.11302	0.01469	0.00296
2900	47.5	0.08235	0.01061	0.00172
2900	52.5	0.0586	0.00754	0.0012
2900	57.5	0.04067	0.00524	0.000876184
2900	62.5	0.02874	0.00372	0.000741316
2900	67.5	0.02178	0.00283	0.000593618
2900	72.5	0.01802	0.00235	0.000547819
2900	77.5	0.01462	0.00192	0.000509194
2900	82.5	0.01258	0.00165	0.000422241
2900	87.5	0.01502	0.00196	0.000442725
2900	92.5	0.0198	0.00257	0.000504918
2900	97.5	0.02785	0.00359	0.000600811
2900	102.5	0.0338	0.00436	0.00077913
2900	107.5	0.03468	0.00446	0.000734058
2900	112.5	0.03668	0.00473	0.000804256
2900	117.5	0.04368	0.00562	0.000914179
2900	122.5	0.05188	0.00667	0.00107
2900	127.5	0.04116	0.00532	0.000988844
2900	132.5	0.04602	0.00596	0.00115
2900	137.5	0.04094	0.00532	0.00113
2900	142.5	0.03935	0.00521	0.00151
2900	147.5	0.02657	0.00402	0.00219
2900	152.5	0.02462	0.00343	0.00142
2900	157.5	0.02147	0.00342	0.00205
3000	37.5	0.14994	0.02056	0.007
3000	42.5	0.11011	0.01439	0.00271
3000	47.5	0.08453	0.01096	0.00165
3000	52.5	0.05923	0.00767	0.00112
3000	57.5	0.04255	0.00551	0.00083815
3000	62.5	0.02924	0.00381	0.000686049
3000	67.5	0.02059	0.00269	0.000520174
3000	72.5	0.01596	0.0021	0.000464291
3000	77.5	0.01157	0.00153	0.000390859
3000	82.5	0.00918	0.00122	0.000310981
3000	87.5	0.01105	0.00145	0.000331215
3000	92.5	0.0153	0.002	0.000391083
3000	97.5	0.02271	0.00295	0.000486637
3000	102.5	0.02841	0.00369	0.000621437
3000	107.5	0.03052	0.00396	0.000631462
3000	112.5	0.03369	0.00437	0.00070703
3000	117.5	0.04093	0.0053	0.000803501
3000	122.5	0.05051	0.00654	0.000989236
3000	127.5	0.04149	0.00539	0.000913989
3000	132.5	0.04353	0.00567	0.00101
3000	137.5	0.04085	0.00533	0.00104
3000	142.5	0.03727	0.00493	0.00127
3000	147.5	0.02616	0.00394	0.00207
3000	152.5	0.0224	0.00314	0.00127
3000	157.5	0.01899	0.003	0.00176
3100	37.5	0.13462	0.01904	0.0076
3100	42.5	0.11182	0.01529	0.00484
3100	47.5	0.08679	0.0114	0.002
3100	52.5	0.05814	0.00762	0.0013
3100	57.5	0.04285	0.00563	0.001
3100	62.5	0.02944	0.00389	0.000835553
3100	67.5	0.02003	0.00266	0.000620462
3100	72.5	0.01471	0.00198	0.000539463
3100	77.5	0.01037	0.00141	0.000443126
3100	82.5	0.00732	0.001	0.000328842
3100	87.5	0.00931	0.00125	0.000358265
3100	92.5	0.01355	0.00181	0.000445508
3100	97.5	0.02053	0.00271	0.000557529
3100	102.5	0.02482	0.00327	0.000664491
3100	107.5	0.02968	0.00391	0.00077147
3100	112.5	0.03248	0.00428	0.000828722
3100	117.5	0.04117	0.00541	0.000984045
3100	122.5	0.05115	0.00672	0.0012
3100	127.5	0.04431	0.00584	0.00115
3100	132.5	0.04257	0.00563	0.00119
3100	137.5	0.04485	0.00595	0.00134
3100	142.5	0.04003	0.0054	0.00156
3100	147.5	0.02724	0.00444	0.0027
3100	152.5	0.02072	0.00303	0.00141
3100	157.5	0.01418	0.00253	0.00174
3200	37.5	0.13135	0.01892	0.008
3200	42.5	0.10236	0.01419	0.00477
3200	47.5	0.07472	0.00992	0.00186
3200	52.5	0.05267	0.00698	0.00125
3200	57.5	0.03819	0.00507	0.000944337
3200	62.5	0.0258	0.00345	0.000757638
3200	67.5	0.01729	0.00233	0.000567195
3200	72.5	0.01204	0.00164	0.000479345
3200	77.5	0.00888	0.00122	0.000393348
3200	82.5	0.00618	0.00085617	0.00028884
3200	87.5	0.00747	0.00102	0.000314197
3200	92.5	0.00966	0.00131	0.00036047
3200	97.5	0.01469	0.00197	0.000448988
3200	102.5	0.01931	0.00258	0.000556143
3200	107.5	0.02147	0.00288	0.000651065
3200	112.5	0.02824	0.00376	0.000766936
3200	117.5	0.03541	0.00471	0.000904814
3200	122.5	0.04407	0.00585	0.0011
3200	127.5	0.03937	0.00524	0.00105
3200	132.5	0.04005	0.00535	0.00116
3200	137.5	0.03907	0.00525	0.00124
3200	142.5	0.03566	0.00486	0.00141
3200	147.5	0.02366	0.00392	0.00241
3200	152.5	0.0176	0.00265	0.00132
3200	157.5	0.01047	0.00199	0.00145
3300	42.5	0.06942	0.00991	0.00386
3300	47.5	0.05624	0.00758	0.0016
3300	52.5	0.03877	0.00522	0.00107
3300	57.5	0.02779	0.00375	0.000793363
3300	62.5	0.01808	0.00246	0.000619684
3300	67.5	0.01245	0.00171	0.000482508
3300	72.5	0.00844	0.00118	0.000394583
3300	77.5	0.00669	0.000946729	0.000344934
3300	82.5	0.0042	0.000601962	0.000237078
3300	87.5	0.00494	0.000698734	0.000253832
3300	92.5	0.00641	0.000893724	0.000291926
3300	97.5	0.00922	0.00127	0.000356981
3300	102.5	0.01252	0.0017	0.000427488
3300	107.5	0.01637	0.00223	0.000582002
3300	112.5	0.01893	0.00257	0.000597988
3300	117.5	0.02677	0.00362	0.000800542
3300	122.5	0.03243	0.00438	0.000935737
3300	127.5	0.03045	0.00412	0.000923441
3300	132.5	0.02928	0.00398	0.000976265
3300	137.5	0.03032	0.00415	0.00111
3300	142.5	0.03073	0.00427	0.00133
3300	147.5	0.01916	0.00334	0.00219
3300	152.5	0.01476	0.00233	0.00127
3300	157.5	0.00826	0.00179	0.00141
3400	42.5	0.07629	0.01101	0.00432
3400	47.5	0.06291	0.0086	0.00189
3400	52.5	0.04517	0.00617	0.00132
3400	57.5	0.03026	0.00413	0.000898321
3400	62.5	0.01833	0.00253	0.000654427
3400	67.5	0.01245	0.00174	0.000505239
3400	72.5	0.0097	0.00137	0.000456646
3400	77.5	0.00686	0.000978943	0.000348173
3400	82.5	0.00511	0.000732658	0.000267781
3400	87.5	0.00523	0.000748507	0.000269724
3400	92.5	0.00634	0.000897505	0.00029877
3400	97.5	0.00914	0.00127	0.000367291
3400	102.5	0.01292	0.00179	0.000463732
3400	107.5	0.01775	0.00246	0.000676897
3400	112.5	0.02104	0.00289	0.000699668
3400	117.5	0.02787	0.00382	0.000886375
3400	122.5	0.03581	0.0049	0.0011
3400	127.5	0.03661	0.00501	0.00113
3400	132.5	0.03211	0.00442	0.0011
3400	137.5	0.03657	0.00506	0.00135
3400	142.5	0.03503	0.00492	0.00155
3400	147.5	0.02076	0.00359	0.00227
3400	152.5	0.0174	0.0028	0.00156
3400	157.5	0.00966	0.00203	0.00157
3500	42.5	0.0632	0.00944	0.00414
3500	47.5	0.05752	0.00805	0.00209
3500	52.5	0.04003	0.00558	0.00137
3500	57.5	0.02288	0.0032	0.00082118
3500	62.5	0.01628	0.0023	0.000680477
3500	67.5	0.01117	0.0016	0.000525904
3500	72.5	0.00894	0.0013	0.000484833
3500	77.5	0.00617	0.000906669	0.000354474
3500	82.5	0.00483	0.000712709	0.000282832
3500	87.5	0.00424	0.000627806	0.000255565
3500	92.5	0.0052	0.000761816	0.000291341
3500	97.5	0.00716	0.00103	0.000360967
3500	102.5	0.00943	0.00134	0.000416164
3500	107.5	0.01256	0.0018	0.000596526
3500	112.5	0.01655	0.00233	0.000662537
3500	117.5	0.02274	0.0032	0.000897743
3500	122.5	0.02695	0.00378	0.000993108
3500	127.5	0.03031	0.00424	0.0011
3500	132.5	0.02674	0.00378	0.00111
3500	137.5	0.02882	0.00411	0.0013
3500	142.5	0.02603	0.00378	0.00139
3500	147.5	0.02343	0.00419	0.00275
3500	152.5	0.01369	0.0024	0.00153
3500	157.5	0.00617	0.00152	0.00127
