CLAS physics database search results
Measurement E32M1
g10 CLAS experiment
Wei Chen
0

Egamma	theta	dsigma/dOmega	Data errors	Systematic errors
MeV	deg	mcb/srad	mcb/srad	mcb/srad
1300	37.5	2.90132	0.33411	0.04495
1300	42.5	2.71512	0.31139	0.03123
1300	47.5	2.4108	0.27526	0.01646
1300	52.5	1.96494	0.22429	0.01246
1300	57.5	1.57594	0.17987	0.00979
1300	62.5	1.28308	0.14645	0.00827
1300	67.5	1.01393	0.11574	0.00666
1300	72.5	0.77917	0.08894	0.00524
1300	77.5	0.6072	0.06932	0.00425
1300	82.5	0.51321	0.0586	0.00374
1300	87.5	0.44648	0.051	0.00365
1300	92.5	0.39409	0.04502	0.00326
1300	97.5	0.33348	0.03809	0.00268
1300	102.5	0.29898	0.03414	0.0023
1300	107.5	0.25959	0.02964	0.002
1300	112.5	0.19344	0.0221	0.00164
1300	117.5	0.15849	0.01812	0.00149
1300	122.5	0.19675	0.02249	0.00185
1300	127.5	0.27259	0.03115	0.00247
1300	132.5	0.35924	0.04112	0.00409
1300	137.5	0.43054	0.04975	0.0081
1300	142.5	0.53673	0.06146	0.00605
1300	147.5	0.7644	0.08751	0.00839
1300	152.5	1.1063	0.12738	0.01824
1300	157.5	0.98281	0.13945	0.0831
1350	37.5	2.6593	0.30691	0.04301
1350	42.5	2.56235	0.2945	0.03154
1350	47.5	2.17928	0.24918	0.01579
1350	52.5	1.7442	0.19936	0.01178
1350	57.5	1.35334	0.15467	0.00896
1350	62.5	1.13109	0.12928	0.00782
1350	67.5	0.89475	0.10227	0.00627
1350	72.5	0.71464	0.08169	0.00512
1350	77.5	0.58633	0.06703	0.00434
1350	82.5	0.50797	0.05808	0.00392
1350	87.5	0.44805	0.05124	0.00384
1350	92.5	0.39352	0.04503	0.00348
1350	97.5	0.33173	0.03794	0.00279
1350	102.5	0.29273	0.03348	0.00236
1350	107.5	0.2537	0.02901	0.00205
1350	112.5	0.19636	0.02246	0.00172
1350	117.5	0.15915	0.01822	0.00156
1350	122.5	0.20414	0.02337	0.002
1350	127.5	0.27386	0.03135	0.00261
1350	132.5	0.37277	0.04272	0.00432
1350	137.5	0.3983	0.04619	0.00815
1350	142.5	0.51967	0.05961	0.00623
1350	147.5	0.70436	0.08078	0.00818
1350	152.5	1.04894	0.12096	0.0176
1350	157.5	0.95699	0.12983	0.07028
1400	37.5	2.2127	0.25582	0.03585
1400	42.5	2.05309	0.23564	0.0201
1400	47.5	1.85187	0.21205	0.01346
1400	52.5	1.53454	0.17565	0.0104
1400	57.5	1.18452	0.13556	0.00787
1400	62.5	0.97836	0.11198	0.0068
1400	67.5	0.80978	0.09269	0.00566
1400	72.5	0.68727	0.07867	0.00492
1400	77.5	0.58752	0.06725	0.00435
1400	82.5	0.51392	0.05884	0.00393
1400	87.5	0.4608	0.05277	0.00391
1400	92.5	0.4008	0.04593	0.00355
1400	97.5	0.33829	0.03874	0.00276
1400	102.5	0.30368	0.03477	0.00239
1400	107.5	0.26349	0.03017	0.00208
1400	112.5	0.21451	0.02456	0.0018
1400	117.5	0.17599	0.02017	0.00165
1400	122.5	0.21982	0.0252	0.0021
1400	127.5	0.28364	0.0325	0.00265
1400	132.5	0.36856	0.04228	0.00411
1400	137.5	0.35915	0.04172	0.00743
1400	142.5	0.49661	0.05706	0.00612
1400	147.5	0.65687	0.07544	0.00768
1400	152.5	0.95619	0.11034	0.01553
1400	157.5	0.9193	0.11851	0.0549
1450	37.5	1.9381	0.22477	0.03309
